Image,Offer,Link,Credit Card
,,,
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,MakeMyTrip ICICI Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Adani One ICICI Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Adani One ICICI Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI HPCL Coral Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Parakram Select Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Parakram Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Skywards ICICI Bank Emerald Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Instant Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Emirates Skywards Rubyx Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Skywards ICICI Bank Sapphiro Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,MakeMyTrip ICICI Bank Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Accelero ICICI Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,MakeMyTrip ICICI Bank Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Chennai Super Kings ICICI Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Manchester United Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Manchester United Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Expressions Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Platinum Chip Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank HPCL Super Saver Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Emeralde Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Rubyx Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Coral Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI Bank Sapphiro Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,MakeMyTrip ICICI Bank Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Adani One ICICI Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,Adani One ICICI Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_home/2024/Sep/23c53eedfa0b0798a900e2b7592ecec1.jpg,"Flat 12% OFF (upto Rs. 1,800)",https://www.yatra.com/offer/details/icici-bank-credit-card-offers,ICICI HPCL Coral Credit Card
